Time,[A],[B]
0,1,100
1,179.051,-8.25622e-17
2,179.051,-2.4944e-18
3,179.051,-1.63068e-18
4,179.051,-7.66968e-19
5,179.051,-9.53268e-21
6,179.051,-6.78719e-21
7,179.051,-4.0417e-21
8,179.051,-1.29621e-21
9,179.051,-3.09068e-23
10,179.051,-3.00316e-23
11,179.051,-2.91564e-23
12,179.051,-2.82812e-23
13,179.051,-2.74059e-23
14,179.051,-2.65307e-23
15,179.051,-2.56555e-23
16,179.051,-2.47803e-23
17,179.051,-2.39051e-23
18,179.051,-2.30299e-23
19,179.051,-2.21547e-23
20,179.051,-2.12795e-23
21,179.051,-2.04042e-23
22,179.051,-1.9529e-23
23,179.051,-1.86538e-23
24,179.051,-1.77786e-23
25,179.051,-1.69034e-23
26,179.051,-1.60282e-23
27,179.051,-1.5153e-23
28,179.051,-1.42778e-23
29,179.051,-1.34026e-23
30,179.051,-1.25273e-23
31,179.051,-1.16521e-23
32,179.051,-1.07769e-23
33,179.051,-9.9017e-24
34,179.051,-9.02649e-24
35,179.051,-8.15128e-24
36,179.051,-7.27607e-24
37,179.051,-6.40085e-24
38,179.051,-5.52564e-24
39,179.051,-4.65043e-24
40,179.051,-3.77522e-24
41,179.051,-2.9e-24
42,179.051,-2.02479e-24
43,179.051,-1.14958e-24
44,179.051,-2.74368e-25
45,179.051,-9.80827e-27
46,179.051,-9.52926e-27
47,179.051,-9.25026e-27
48,179.051,-8.97126e-27
49,179.051,-8.69226e-27
50,179.051,-8.41326e-27
51,179.051,-8.13425e-27
52,179.051,-7.85525e-27
53,179.051,-7.57625e-27
54,179.051,-7.29725e-27
55,179.051,-7.01825e-27
56,179.051,-6.73925e-27
57,179.051,-6.46024e-27
58,179.051,-6.18124e-27
59,179.051,-5.90224e-27
60,179.051,-5.62324e-27
61,179.051,-5.34424e-27
62,179.051,-5.06524e-27
63,179.051,-4.78623e-27
64,179.051,-4.50723e-27
65,179.051,-4.22823e-27
66,179.051,-3.94923e-27
67,179.051,-3.67023e-27
68,179.051,-3.39122e-27
69,179.051,-3.11222e-27
70,179.051,-2.83322e-27
71,179.051,-2.55422e-27
72,179.051,-2.27522e-27
73,179.051,-1.99622e-27
74,179.051,-1.71721e-27
75,179.051,-1.43821e-27
76,179.051,-1.15921e-27
77,179.051,-8.80209e-28
78,179.051,-6.01207e-28
79,179.051,-3.22205e-28
80,179.051,-4.32037e-29
81,179.051,-3.18115e-30
82,179.051,-3.17226e-30
83,179.051,-3.16336e-30
84,179.051,-3.15446e-30
85,179.051,-3.14557e-30
86,179.051,-3.13667e-30
87,179.051,-3.12777e-30
88,179.051,-3.11888e-30
89,179.051,-3.10998e-30
90,179.051,-3.10108e-30
91,179.051,-3.09219e-30
92,179.051,-3.08329e-30
93,179.051,-3.07439e-30
94,179.051,-3.0655e-30
95,179.051,-3.0566e-30
96,179.051,-3.0477e-30
97,179.051,-3.03881e-30
98,179.051,-3.02991e-30
99,179.051,-3.02101e-30
100,179.051,-3.01212e-30
101,179.051,-3.00322e-30
102,179.051,-2.99432e-30
103,179.051,-2.98543e-30
104,179.051,-2.97653e-30
105,179.051,-2.96763e-30
106,179.051,-2.95874e-30
107,179.051,-2.94984e-30
108,179.051,-2.94094e-30
109,179.051,-2.93205e-30
110,179.051,-2.92315e-30
111,179.051,-2.91425e-30
112,179.051,-2.90536e-30
113,179.051,-2.89646e-30
114,179.051,-2.88756e-30
115,179.051,-2.87867e-30
116,179.051,-2.86977e-30
117,179.051,-2.86087e-30
118,179.051,-2.85198e-30
119,179.051,-2.84308e-30
120,179.051,-2.83418e-30
121,179.051,-2.82529e-30
122,179.051,-2.81639e-30
123,179.051,-2.80749e-30
124,179.051,-2.7986e-30
125,179.051,-2.7897e-30
126,179.051,-2.7808e-30
127,179.051,-2.77191e-30
128,179.051,-2.76301e-30
129,179.051,-2.75411e-30
130,179.051,-2.74522e-30
131,179.051,-2.73632e-30
132,179.051,-2.72742e-30
133,179.051,-2.71853e-30
134,179.051,-2.70963e-30
135,179.051,-2.70073e-30
136,179.051,-2.69184e-30
137,179.051,-2.68294e-30
138,179.051,-2.67404e-30
139,179.051,-2.66515e-30
140,179.051,-2.65625e-30
141,179.051,-2.64735e-30
142,179.051,-2.63846e-30
143,179.051,-2.62956e-30
144,179.051,-2.62066e-30
145,179.051,-2.61177e-30
146,179.051,-2.60287e-30
147,179.051,-2.59397e-30
148,179.051,-2.58508e-30
149,179.051,-2.57618e-30
150,179.051,-2.56728e-30
151,179.051,-2.55839e-30
152,179.051,-2.54949e-30
153,179.051,-2.54059e-30
154,179.051,-2.5317e-30
155,179.051,-2.5228e-30
156,179.051,-2.51391e-30
157,179.051,-2.50501e-30
158,179.051,-2.49611e-30
159,179.051,-2.48722e-30
160,179.051,-2.47832e-30
161,179.051,-2.46942e-30
162,179.051,-2.46053e-30
163,179.051,-2.45163e-30
164,179.051,-2.44273e-30
165,179.051,-2.43384e-30
166,179.051,-2.42494e-30
167,179.051,-2.41604e-30
168,179.051,-2.40715e-30
169,179.051,-2.39825e-30
170,179.051,-2.38935e-30
171,179.051,-2.38046e-30
172,179.051,-2.37156e-30
173,179.051,-2.36266e-30
174,179.051,-2.35377e-30
175,179.051,-2.34487e-30
176,179.051,-2.33597e-30
177,179.051,-2.32708e-30
178,179.051,-2.31818e-30
179,179.051,-2.30928e-30
180,179.051,-2.30039e-30
181,179.051,-2.29149e-30
182,179.051,-2.28259e-30
183,179.051,-2.2737e-30
184,179.051,-2.2648e-30
185,179.051,-2.2559e-30
186,179.051,-2.24701e-30
187,179.051,-2.23811e-30
188,179.051,-2.22921e-30
189,179.051,-2.22032e-30
190,179.051,-2.21142e-30
191,179.051,-2.20252e-30
192,179.051,-2.19363e-30
193,179.051,-2.18473e-30
194,179.051,-2.17583e-30
195,179.051,-2.16694e-30
196,179.051,-2.15804e-30
197,179.051,-2.14914e-30
198,179.051,-2.14025e-30
199,179.051,-2.13135e-30
200,179.051,-2.12245e-30
